,gen,i,max,max_el,max_pop,mean,mean_el,mean_pop,min,min_el,min_pop,ppa
163,43,2311,84.8038,84.8042,84.8042,74.29873400000001,83.44321999999997,77.67814124999997,64.8654,82.8123,64.8654,6
164,44,2361,84.8042,84.8042,84.8042,75.47394918032789,83.67570666666666,78.10118131868133,65.863,82.8126,65.863,6
165,45,2422,84.8042,84.8042,84.8042,76.24190983606557,84.10687,78.69261208791211,65.8631,83.8069,65.8631,6
166,46,2483,84.8054,84.8054,84.8054,76.83017115384615,84.30628666666668,79.4923780487805,66.8616,83.8079,66.8616,6
167,47,2535,84.8046,84.8054,84.8054,78.11813037974686,84.67145666666666,79.82129266055047,64.8584,83.8089,64.8584,6
168,48,2614,84.8048,84.8054,84.8054,79.063479,84.80427333333338,80.35762769230776,63.8699,84.8038,63.8699,6
169,49,2714,84.8046,84.8054,84.8054,75.11448139534885,84.80432000000003,79.09658767123291,63.8649,84.8038,63.8649,6
170,50,2757,84.8054,84.8054,84.8054,76.30147142857143,84.80457999999999,79.53040126582277,61.8659,84.8042,61.8659,6
171,51,2806,84.8054,84.8054,84.8054,75.51418867924528,84.80469333333332,78.87216144578312,64.865,84.8042,64.865,6
172,52,2859,84.8056,84.8056,84.8056,76.05682857142857,84.80481999999998,79.37880253164558,64.8656,84.8042,64.8656,6
173,53,2908,84.8054,84.8056,84.8056,75.38091818181817,84.8049333333333,78.70700117647058,64.8686,84.8044,64.8686,6
174,54,2963,84.8056,84.8056,84.8056,77.04656166666668,84.80506666666662,79.63268555555554,64.8604,84.8046,64.8604,6
175,55,3023,84.8056,84.8056,84.8056,77.16329841269844,84.80528666666665,79.62838494623654,64.8715,84.8048,64.8715,6
176,56,3086,84.8058,84.8058,84.8058,78.32566860465123,84.80547000000001,80.00143189655171,67.8575,84.8052,67.8575,6
177,57,3172,84.8058,84.8058,84.8058,75.41482400000001,84.80549666666668,78.93631625,62.8731,84.8054,62.8731,6
178,58,3222,84.8062,84.8062,84.8062,75.62297115384614,84.80557000000002,78.98243170731712,57.8909,84.8054,57.8909,6
179,59,3274,84.8062,84.8062,84.8062,74.85945681818181,84.80563000000002,78.89166486486488,65.8637,84.8054,65.8637,6
180,60,3318,84.8058,84.8062,84.8062,77.15447297297297,84.80564666666668,80.5803641791045,68.8642,84.8054,68.8642,6
181,61,3355,84.8062,84.8062,84.8062,75.34577659574468,84.80570000000002,79.03144025974026,63.8712,84.8054,63.8712,6
182,62,3402,84.8062,84.8062,84.8062,76.554985106383,84.80576333333332,79.76954935064937,67.8602,84.8055,67.8602,6
183,63,3449,84.8062,84.8062,84.8062,76.46857636363637,84.80583333333334,79.4111129411765,65.8671,84.8056,65.8671,6
184,64,3504,84.8064,84.8064,84.8064,77.2011693548387,84.80599333333338,79.68095108695657,63.8677,84.8056,63.8677,6
185,65,3566,84.8062,84.8064,84.8064,77.27982394366195,84.8060666666667,79.51531980198025,66.8618,84.8056,66.8618,6
186,66,3637,84.8066,84.8066,84.8066,78.19554130434783,84.80622666666666,79.82108032786883,61.8683,84.8062,61.8683,6
187,67,3729,83.8099,84.8066,84.8066,74.16186176470589,84.80622666666666,79.1514078125,61.8714,84.8062,61.8714,6
188,68,3763,84.8064,84.8066,84.8066,76.42648108108108,84.80623333333332,80.17860597014922,64.8685,84.8062,64.8685,6
189,69,3800,84.8066,84.8066,84.8066,74.24325675675675,84.80625333333333,78.97294776119404,63.8668,84.8062,63.8668,6
190,70,3837,84.8066,84.8066,84.8066,76.49084318181818,84.80629333333333,79.86195540540542,65.856,84.8062,65.856,6
191,71,3881,84.8066,84.8066,84.8066,75.52854081632654,84.80630666666666,79.05173797468358,62.8738,84.8062,62.8738,6
192,72,3930,84.807,84.807,84.807,75.77299387755102,84.80636666666666,79.20336582278485,64.866,84.8062,64.866,6
193,73,3979,84.807,84.807,84.807,74.31530454545454,84.80641333333332,78.56843783783785,63.8712,84.8062,63.8712,6
194,74,4023,84.807,84.807,84.807,74.79457234042553,84.80645999999999,78.69528961038962,66.8588,84.8062,66.8588,6
195,75,4070,84.807,84.807,84.807,75.78037857142856,84.80656666666664,78.92901162790695,63.8621,84.8062,63.8621,6
196,76,4126,84.8068,84.807,84.807,76.63430303030302,84.80659999999996,79.18813541666667,64.8597,84.8062,64.8597,6
197,77,4192,84.8076,84.8076,84.8076,77.48337636363637,84.80671333333329,80.06804352941175,67.8581,84.8064,67.8581,6
198,78,4247,83.8101,84.8076,84.8076,72.86889487179488,84.80671333333329,78.05925072463769,65.8656,84.8064,65.8656,6
199,79,4286,84.8076,84.8076,84.8076,75.12129285714288,84.80675999999995,79.15688472222219,63.8657,84.8064,63.8657,6
200,80,4328,84.8076,84.8076,84.8076,74.53584150943394,84.8068933333333,78.24822168674699,64.8617,84.8066,64.8617,6
201,81,4381,84.8076,84.8076,84.8076,73.6975755102041,84.80695999999999,77.91630379746833,62.8734,84.8066,62.8734,6
202,82,4430,84.8078,84.8078,84.8078,76.8148953125,84.80711999999998,79.36555425531913,63.8575,84.8066,63.8575,6
203,83,4494,84.8076,84.8078,84.8078,76.83082622950819,84.80722666666664,79.46037362637361,63.8627,84.8068,63.8627,6
204,84,4555,84.8082,84.8082,84.8082,77.12987428571431,84.80743999999997,79.43307999999996,59.8825,84.8068,59.8825,6
205,85,4625,84.8078,84.8082,84.8082,76.37394590163935,84.80760000000004,79.15421868131871,65.8597,84.807,65.8597,6
206,86,4686,84.8078,84.8082,84.8082,75.43227313432836,84.80763333333338,78.33185876288663,66.8559,84.8074,66.8559,6
207,87,4753,84.8082,84.8082,84.8082,74.83805128205127,84.80768000000005,79.17265217391304,64.8677,84.8076,64.8677,6
208,88,4792,84.8082,84.8082,84.8082,74.23280606060608,84.80770000000005,79.26846031746037,66.8618,84.8076,66.8618,6
209,89,4825,84.8082,84.8082,84.8082,75.5354475,84.80774666666672,79.50927000000001,67.8559,84.8076,67.8559,6
210,90,4865,84.8082,84.8082,84.8082,76.73951162790698,84.80776666666672,80.05522465753428,67.8615,84.8076,67.8615,6
