netlist length,solvability by arb 20x20,solvability of mean 20x20,solvability best of 20x20,solvability worst of 20x20,solvability by arb 30x30,solvability of mean 30x30,solvability best of 30x30,solvability worst of 30x30,solvability by arb 40x40,solvability of mean 40x40,solvability best of 40x40,solvability worst of 40x40,solvability by arb 50x50,solvability of mean 50x50,solvability best of 50x50,solvability worst of 50x50,solvability by arb 60x60,solvability of mean 60x60,solvability best of 60x60,solvability worst of 60x60,solvability by arb 70x70,solvability of mean 70x70,solvability best of 70x70,solvability worst of 70x70,solvability by arb 80x80,solvability of mean 80x80,solvability best of 80x80,solvability worst of 80x80,solvability by arb 90x90,solvability of mean 90x90,solvability best of 90x90,solvability worst of 90x90,solvability by arb 100x100,solvability of mean 100x100,solvability best of 100x100,solvability worst of 100x100
42,0,0,0,0,0,0.01025,0.45,0,0,0.066,1,0,0.075,0.10225000000000001,0.975,0,0.3,0.268,1,0,0.45,0.31,1,0,0.3,0.40525,1,0,0.6,0.46575,1,0,0.5,0.50175,1,0
43,0,0,0,0,0,0.00675,0.45,0,0,0.045,0.95,0,0.1,0.11825000000000001,0.975,0,0.2,0.22725,1,0,0.4,0.361,1,0,0.5,0.37,1,0,0.5,0.47525,1,0,0.3,0.4955,1,0
44,0,0,0,0,0,0.00775,0.3,0,0,0.06675,1,0,0.175,0.144125,0.975,0,0.1,0.15675,1,0,0.2,0.267,1,0,0.4,0.32275,1,0,0.3,0.37775000000000003,1,0,0.4,0.4505,1,0
45,0,0,0,0,0,0.0005,0.05,0,0.1,0.0525,0.85,0,0.025,0.04875,0.9,0,0.25,0.18125,1,0,0.35,0.2445,1,0,0.4,0.27625,1,0,0.6,0.39275,1,0,0.55,0.48925,1,0
46,0,0,0,0,0,0.0022500000000000003,0.35,0,0,0.01625,0.55,0,0.1,0.10175000000000001,0.975,0,0.05,0.10375,1,0,0.2,0.30375,1,0,0.4,0.2375,1,0,0.25,0.29625,1,0,0.5,0.43375,1,0
47,0,0,0,0,0,0.0015,0.25,0,0.05,0.03325,0.7,0,0.075,0.051125000000000004,0.95,0,0.1,0.12075,0.95,0,0.05,0.13275,1,0,0.25,0.30925,1,0,0.35,0.295,1,0,0.35,0.394,1,0
48,0,0,0,0,0,0.00075,0.15,0,0,0.01575,0.6,0,0.075,0.058,0.875,0,0.1,0.12225,0.95,0,0.2,0.175,0.95,0,0.2,0.21625,1,0,0.3,0.26725,1,0,0.25,0.30025,1,0
49,0,0,0,0,0,0.0015,0.1,0,0.05,0.01925,0.7,0,0.025,0.037875,0.925,0,0.15,0.07925,0.95,0,0.2,0.15425,1,0,0.2,0.2235,1,0,0.15,0.29075,1,0,0.25,0.3305,1,0
50,0,0,0,0,0,0.0005,0.05,0,0,0.0135,0.75,0,0.025,0.03875,0.95,0,0.25,0.12075,0.85,0,0.1,0.11125,0.9,0,0.25,0.15375,1,0,0.15,0.1835,1,0,0.15,0.1795,0.95,0
51,0,0,0,0,0,0.00075,0.1,0,0,0.00625,0.55,0,0,0.04025,0.775,0,0.15,0.10350000000000001,0.9,0,0.1,0.133,1,0,0.15,0.14875,1,0,0.3,0.208,1,0,0.25,0.247,1,0
