netlist length,routability by arb 20x20,routability of mean 20x20,routability best of 20x20,routability worst of 20x20,routability by arb 30x30,routability of mean 30x30,routability best of 30x30,routability worst of 30x30,routability by arb 40x40,routability of mean 40x40,routability best of 40x40,routability worst of 40x40,routability by arb 50x50,routability of mean 50x50,routability best of 50x50,routability worst of 50x50,routability by arb 60x60,routability of mean 60x60,routability best of 60x60,routability worst of 60x60,routability by arb 70x70,routability of mean 70x70,routability best of 70x70,routability worst of 70x70,routability by arb 80x80,routability of mean 80x80,routability best of 80x80,routability worst of 80x80,routability by arb 90x90,routability of mean 90x90,routability best of 90x90,routability worst of 90x90,routability by arb 100x100,routability of mean 100x100,routability best of 100x100,routability worst of 100x100
58,0,0,0,0,0,0,0,0,0,0.001,0.15,0,0,0.00325,0.2,0,0.05,0.0225,0.55,0,0.05,0.0495,0.8,0,0.15,0.08474999999999999,0.9,0,0.1,0.10425,1,0,0.05,0.07525,0.9,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.15,0,0,0.007500000000000001,0.5,0,0,0.029,0.85,0,0.05,0.06175,0.75,0,0,0.076,0.95,0,0.1,0.0895,1,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475,0.3,0,0.05,0.0125,0.55,0,0,0.03975,0.6,0,0,0.048,0.9,0,0.05,0.05775,0.95,0,0.2,0.10025,0.95,0
61,0,0,0,0,0,0.00025,0.05,0,0,0.00025,0.05,0,0,0.002,0.3,0,0,0.008,0.5,0,0.05,0.033,0.9,0,0,0.044,0.8,0,0,0.04125,0.85,0,0,0.1,1,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.00425,0.3,0,0,0.0022500000000000003,0.25,0,0,0.0075,0.45,0,0,0.033,0.7,0,0,0.02775,0.9,0,0.05,0.054,0.85,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0.25,0,0,0.00525,0.3,0,0,0.01125,0.55,0,0,0.022500000000000003,0.7,0,0,0.0485,0.9,0,0.1,0.089,0.75,0
64,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.001,0.2,0,0,0.007,0.45,0,0.05,0.01725,0.65,0,0,0.0135,0.8,0,0,0.03075,0.8,0,0.05,0.06825,0.95,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.05,0,0,0.002,0.2,0,0,0.002,0.25,0,0.05,0.025500000000000002,0.7,0,0.05,0.031,0.65,0,0.05,0.064,0.8,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.1,0,0,0.002,0.2,0,0,0.006,0.35,0,0.05,0.029,0.8,0,0,0.019,0.65,0,0.05,0.04575,0.85,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037500000000000003,0.3,0,0,0.00525,0.4,0,0,0.0135,0.7,0,0.05,0.022,0.75,0,0.05,0.04625,0.8,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.05,0,0,0.00125,0.15,0,0,0.0025,0.25,0,0,0.00675,0.5,0,0,0.02275,0.6,0,0,0.0335,0.7,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0045000000000000005,0.3,0,0,0.00225,0.25,0,0,0.01675,0.7,0,0.05,0.052,0.7,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.15,0,0,0.005,0.45,0,0,0.006500000000000001,0.35,0,0,0.014,0.7,0,0.05,0.018000000000000002,0.5,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.1,0,0,0.00325,0.3,0,0,0.00375,0.3,0,0,0.00625,0.55,0,0.05,0.0195,0.75,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0005,0.1,0,0,0.0037500000000000003,0.35,0,0,0.0032500000000000003,0.3,0,0.05,0.0195,0.8,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.05,0,0,0.00025,0.05,0,0,0.001,0.1,0,0,0.00725,0.3,0,0,0.01875,0.75,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00175,0.25,0,0,0.006,0.25,0,0,0.00675,0.45,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275,0.35,0,0.05,0.00875,0.45,0,0,0.00675,0.4,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0025,0.2,0,0,0.0032500000000000003,0.25,0,0,0.00425,0.3,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.1,0,0,0.00175,0.25,0,0,0.0015,0.2,0,0,0.00775,0.4,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.0005,0.1,0,0,0,0,0,0,0.00375,0.35,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00025,0.05,0,0,0.001,0.15,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.2,0,0,0.00125,0.05,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.05,0,0,0.00025,0.05,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.1,0,0,0.0015,0.15,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125,0.2,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.00225,0.2,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0,0,0.00025,0.05,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.1,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.05,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
