netlist length,routability by arb 20x20,routability of mean 20x20,routability best of 20x20,routability worst of 20x20,routability by arb 30x30,routability of mean 30x30,routability best of 30x30,routability worst of 30x30,routability by arb 40x40,routability of mean 40x40,routability best of 40x40,routability worst of 40x40,routability by arb 50x50,routability of mean 50x50,routability best of 50x50,routability worst of 50x50,routability by arb 60x60,routability of mean 60x60,routability best of 60x60,routability worst of 60x60,routability by arb 70x70,routability of mean 70x70,routability best of 70x70,routability worst of 70x70,routability by arb 80x80,routability of mean 80x80,routability best of 80x80,routability worst of 80x80,routability by arb 90x90,routability of mean 90x90,routability best of 90x90,routability worst of 90x90,routability by arb 100x100,routability of mean 100x100,routability best of 100x100,routability worst of 100x100
20,0.905,0.920525,1.0,0.7775,0.99,0.98785,1.0,0.9,0.9875,0.9903,1.0,0.91,0.99375,0.99070625,1.0,0.90875,1.0,0.9972,1.0,0.9425,0.995,0.9964375,1.0,0.9425,0.9975,0.99615,1.0,0.96,0.9975,0.9950125,1.0,0.95,1.0,0.998,1.0,0.97
21,0.8928571428571428,0.8953928571428571,0.9952380952380953,0.7476190476190476,0.9642857142857143,0.9694761904761905,1.0,0.8666666666666667,0.9809523809523809,0.984202380952381,1.0,0.9119047619047619,0.9952380952380953,0.9927321428571428,1.0,0.9226190476190476,0.9857142857142857,0.9915119047619048,1.0,0.930952380952381,0.9928571428571429,0.995702380952381,1.0,0.9571428571428571,0.9976190476190476,0.995654761904762,1.0,0.9452380952380952,0.9976190476190476,0.9986666666666667,1.0,0.9714285714285714,0.9952380952380953,0.9974642857142857,1.0,0.9738095238095238
22,0.9,0.8852613636363637,0.990909090909091,0.7272727272727273,0.9659090909090909,0.9751590909090909,1.0,0.8886363636363637,0.9863636363636363,0.9872272727272727,1.0,0.9,0.9875,0.9898068181818181,1.0,0.9136363636363637,0.9954545454545455,0.9937613636363637,1.0,0.9340909090909091,1.0,0.9907272727272727,1.0,0.9318181818181819,1.0,0.998,1.0,0.9545454545454546,0.9954545454545455,0.9967159090909091,1.0,0.9500000000000001,0.9977272727272727,0.9956136363636363,1.0,0.9613636363636364
23,0.8608695652173913,0.8815,0.991304347826087,0.7282608695652174,0.9847826086956522,0.9758804347826087,1.0,0.8847826086956522,0.9891304347826086,0.9858369565217392,1.0,0.9130434782608695,0.9902173913043478,0.9874728260869565,1.0,0.9195652173913044,0.9869565217391304,0.9934782608695653,1.0,0.9369565217391305,0.991304347826087,0.9945217391304347,1.0,0.9347826086956522,0.9934782608695653,0.9929891304347827,1.0,0.941304347826087,0.9978260869565218,0.9949130434782608,1.0,0.9456521739130435,0.9978260869565218,0.9961739130434782,1.0,0.95
24,0.9020833333333333,0.8799270833333334,0.9895833333333334,0.73125,0.9666666666666667,0.9711770833333333,1.0,0.8624999999999999,0.9895833333333334,0.9850833333333333,1.0,0.89375,0.9875,0.9880833333333333,1.0,0.9135416666666667,0.99375,0.9871041666666667,1.0,0.9208333333333333,1.0,0.9976041666666666,1.0,0.9479166666666666,1.0,0.9953020833333334,1.0,0.9520833333333334,1.0,0.9968541666666667,1.0,0.9541666666666667,0.9979166666666667,0.9955,1.0,0.9520833333333334
25,0.854,0.86124,0.984,0.6960000000000001,0.982,0.9689,1.0,0.864,0.984,0.981,1.0,0.89,0.98,0.98187,1.0,0.894,0.978,0.98759,1.0,0.918,0.994,0.99414,1.0,0.9339999999999999,0.998,0.99727,1.0,0.95,0.996,0.99651,1.0,0.96,0.998,0.99532,1.0,0.956
26,0.8807692307692307,0.8726153846153846,0.9846153846153847,0.7288461538461538,0.9730769230769231,0.9601057692307693,1.0,0.8461538461538461,0.9903846153846154,0.9828269230769231,1.0,0.8923076923076924,0.9843304843304843,0.9881837606837607,1.0,0.9045584045584045,0.9826923076923078,0.9896442307692308,1.0,0.9211538461538462,0.9923076923076923,0.992048076923077,1.0,0.9423076923076923,0.9865384615384616,0.9921923076923077,1.0,0.9307692307692308,0.9865384615384616,0.9934903846153846,1.0,0.9403846153846154,0.9980769230769231,0.9969807692307693,1.0,0.9538461538461539
27,0.8611111111111112,0.8566018518518519,0.9759259259259259,0.7055555555555555,0.9629629629629629,0.9624074074074074,1.0,0.8537037037037036,0.9703703703703703,0.9700740740740741,1.0,0.8703703703703703,0.986111111111111,0.9867685185185185,1.0,0.9111111111111111,0.9888888888888889,0.9870462962962963,1.0,0.9111111111111111,0.9925925925925926,0.9911296296296296,1.0,0.9388888888888889,0.9944444444444445,0.9933703703703703,1.0,0.9388888888888889,0.9944444444444445,0.9951203703703704,1.0,0.9518518518518518,0.987037037037037,0.9933518518518518,1.0,0.9462962962962963
28,0.8482142857142857,0.8335267857142857,0.9589285714285715,0.6803571428571429,0.9535714285714286,0.9533392857142857,1.0,0.8410714285714286,0.9839285714285715,0.9777767857142857,1.0,0.8857142857142857,0.9848214285714286,0.9854866071428572,1.0,0.9017857142857143,0.9892857142857143,0.9893660714285715,1.0,0.9142857142857144,0.9892857142857143,0.9873571428571428,1.0,0.9160714285714286,0.9946428571428572,0.9905714285714285,1.0,0.9285714285714286,0.9875,0.9889017857142857,1.0,0.9267857142857143,0.9946428571428572,0.9967232142857143,1.0,0.9500000000000001
29,0.8396551724137931,0.83825,0.9603448275862069,0.6793103448275862,0.9500000000000001,0.9537586206896552,1.0,0.8517241379310344,0.9793103448275863,0.9723362068965518,1.0,0.8758620689655172,0.9712643678160919,0.9786034482758621,1.0,0.8896551724137931,0.9827586206896551,0.981905172413793,1.0,0.9017241379310345,0.9913793103448276,0.990551724137931,1.0,0.9206896551724137,0.9948275862068966,0.9902155172413794,1.0,0.9224137931034483,0.996551724137931,0.9927758620689655,1.0,0.9327586206896552,0.9896551724137931,0.9952672413793103,1.0,0.9551724137931035
30,0.8283333333333334,0.829375,0.9616666666666667,0.6666666666666666,0.955,0.9448916666666667,1.0,0.8333333333333334,0.9766666666666667,0.9778,1.0,0.89,0.9733333333333334,0.9736416666666666,1.0,0.885,0.985,0.9827,1.0,0.9066666666666667,0.99,0.9887416666666666,1.0,0.93,0.9933333333333333,0.9923583333333333,1.0,0.9383333333333334,0.995,0.9920083333333334,1.0,0.935,0.9933333333333333,0.9944333333333333,1.0,0.9450000000000001
31,0.8338709677419355,0.8264274193548387,0.9548387096774194,0.6838709677419355,0.967741935483871,0.9578629032258065,1.0,0.85,0.9790322580645161,0.9690967741935483,1.0,0.8790322580645161,0.9725806451612903,0.9728306451612904,1.0,0.8830645161290323,0.9887096774193549,0.9849596774193549,1.0,0.9096774193548387,0.9838709677419355,0.9881451612903226,1.0,0.9145161290322581,0.9935483870967742,0.9864032258064516,1.0,0.9241935483870968,0.9838709677419355,0.9868387096774194,1.0,0.9290322580645161,1.0,0.9948629032258065,1.0,0.9451612903225807
32,0.80625,0.8076796875,0.9328125,0.6640625,0.9453125,0.938015625,0.996875,0.821875,0.965625,0.9698515625,1.0,0.875,0.98359375,0.9814140625,1.0,0.90390625,0.99375,0.9850078125,1.0,0.90625,0.9796875,0.9872265625,1.0,0.925,0.984375,0.9901953125,1.0,0.9265625,0.9859375,0.9853125,1.0,0.91875,0.9859375,0.9906484375,1.0,0.9328125
33,0.7909090909090909,0.8008484848484848,0.9363636363636364,0.6454545454545455,0.9378787878787879,0.9411515151515152,1.0,0.8242424242424242,0.9712121212121212,0.9657348484848485,1.0,0.8681818181818182,0.9742424242424242,0.9740151515151515,1.0,0.8856060606060606,0.9787878787878788,0.9731969696969697,1.0,0.896969696969697,0.9833333333333334,0.9816666666666667,1.0,0.9075757575757576,0.990909090909091,0.986909090909091,1.0,0.9272727272727272,0.9893939393939394,0.9908333333333333,1.0,0.9333333333333333,0.9939393939393939,0.9931363636363636,1.0,0.9484848484848485
34,0.8132352941176471,0.7955735294117647,0.9249999999999999,0.6485294117647059,0.9279411764705883,0.9288014705882353,1.0,0.8088235294117647,0.9485294117647058,0.9557794117647059,1.0,0.8544117647058823,0.9764705882352941,0.9777058823529412,1.0,0.899264705882353,0.9852941176470589,0.9827647058823529,1.0,0.9088235294117647,0.9808823529411764,0.9831764705882353,1.0,0.9102941176470588,0.9897058823529412,0.9851764705882353,1.0,0.9191176470588235,0.9897058823529412,0.9918970588235294,1.0,0.9367647058823529,0.9955882352941177,0.9909264705882352,1.0,0.9382352941176471
35,0.7871428571428571,0.7835,0.9157142857142857,0.64,0.94,0.9351571428571428,0.9985714285714286,0.8271428571428572,0.96,0.9536142857142856,1.0,0.8571428571428571,0.9571428571428571,0.9670178571428572,0.9985714285714286,0.8721428571428571,0.9814285714285714,0.9757357142857143,1.0,0.89,0.9828571428571429,0.9830571428571429,1.0,0.9128571428571428,0.9842857142857143,0.9823714285714286,1.0,0.9114285714285714,0.9914285714285714,0.9868142857142858,1.0,0.9271428571428572,0.9842857142857143,0.9906928571428572,1.0,0.9357142857142857
